symbol,ub_symbol,sub.uniport,ub.uniport,ub.type
IRF3,TRIM36,Q14653,Q9NQ86,E3
TRAF2,TRIM37,Q12933,O94972,E3
SMAD7,TRIM37,O15105,O94972,E3
TRAF6,TRIM37,Q9Y4K3,O94972,E3
TRIM37,TRIM37,O94972,O94972,E3
TRIM38,TRIM38,O00635,O00635,E3
TRAF6,TRIM38,Q9Y4K3,O00635,E3
MOAP1,TRIM39,Q96BY2,Q9HCM9,E3
TP53,TRIM39,P04637,Q9HCM9,E3
DDX58,TRIM4,O95786,Q9C037,E3
TRPM8,TRIM4,Q7Z2W7,Q9C037,E3
ZSCAN21,TRIM41,Q9Y5A6,Q8WV44,E3
PRKCB,TRIM41,P05771,Q8WV44,E3
CGAS,TRIM41,Q8N884,Q8WV44,E3
PRKCE,TRIM41,Q02156,Q8WV44,E3
BCL10,TRIM41,O95999,Q8WV44,E3
PPARA,TRIM46,Q07869,Q7Z4K8,E3
SMAD4,TRIM47,Q13485,Q96LD4,E3
ILF3,TRIM47,Q12906,Q96LD4,E3
TP53,TRIM47,P04637,Q96LD4,E3
BLM,TRIM49,P54132,P0CI25,E3
TRIM5,TRIM5,Q9C035,Q9C035,E3
TRIM50,TRIM50,Q86XT4,Q86XT4,E3
TRAF2,TRIM52,Q12933,Q96A61,E3
PTPN11,TRIM52,Q06124,Q96A61,E3
PPM1A,TRIM52,P35813,Q96A61,E3
SAP18,TRIM56,O00422,Q9BRZ2,E3
VIM,TRIM56,P08670,Q9BRZ2,E3
STING1,TRIM56,Q86WV6,Q9BRZ2,E3
DYNC1I1,TRIM58,O14576,Q8NG06,E3
DYNC1LI2,TRIM58,O43237,Q8NG06,E3
PTEN,TRIM59,P60484,Q8IWR1,E3
TP53,TRIM59,P04637,Q8IWR1,E3
PPM1A,TRIM59,P35813,Q8IWR1,E3
MACROH2A1,TRIM59,O75367,Q8IWR1,E3
BTG2,TRIM6,P78543,Q9C030,E3
CARD9,TRIM62,Q9H257,Q9BVG3,E3
TRIM62,TRIM62,Q9BVG3,Q9BVG3,E3
HIBADH,TRIM63,P31937,Q969Q1,E3
CKM,TRIM63,P06732,Q969Q1,E3
TNNC1,TRIM63,P63316,Q969Q1,E3
MYBPC2,TRIM63,Q14324,Q969Q1,E3
ATP5F1B,TRIM63,P06576,Q969Q1,E3
PSMD4,TRIM63,P55036,Q969Q1,E3
TNNI3,TRIM63,P19429,Q969Q1,E3
TNNI1,TRIM63,P19237,Q969Q1,E3
THRA,TRIM63,P10827,Q969Q1,E3
GMEB1,TRIM63,Q9Y692,Q969Q1,E3
MYLPF,TRIM63,Q96A32,Q969Q1,E3
MYBPC3,TRIM63,Q14896,Q969Q1,E3
NFKBIA,TRIM63,P25963,Q969Q1,E3
MYL1,TRIM63,P05976,Q969Q1,E3
ACTA1,TRIM63,P68133,Q969Q1,E3
MYL2,TRIM63,P10916,Q969Q1,E3
TNRC6A,TRIM65,Q8NDV7,Q6PJ69,E3
ANXA2,TRIM65,P07355,Q6PJ69,E3
ARHGAP35,TRIM65,Q9NRY4,Q6PJ69,E3
VCAM1,TRIM65,P19320,Q6PJ69,E3
TP53,TRIM69,P04637,Q86WT6,E3
BRMS1,TRIM7,Q9HCU9,Q9C029,E3
RELA,TRIM7,Q04206,Q9C029,E3
LIN28B,TRIM71,Q6ZN17,Q2Q1W2,E3
ESR1,TRIM8,P03372,Q9BZR9,E3
SOCS1,TRIM8,O15524,Q9BZR9,E3
MAP3K7,TRIM8,O43318,Q9BZR9,E3
VASP,TRIM9,P50552,Q9C026,E3
TRIM9,TRIM9,Q9C026,Q9C026,E3
CDKN2A,TRIP12,Q8N726,Q14669,E3
NAE1,TRIP12,Q13564,Q14669,E3
SOX6,TRIP12,P35712,Q14669,E3
ARFGAP1,TRIP12,Q8N6T3,Q14669,E3
SMARCE1,TRIP12,Q969G3,Q14669,E3
MYC,TRPC4AP,P01106,Q8TEL6,E3
NFKB1,TRPC4AP,P19838,Q8TEL6,E3
AKT3,TTC3,Q9Y243,P53804,E3
AKT1,TTC3,P31749,P53804,E3
AKT2,TTC3,P31751,P53804,E3
MARCHF6,UBE2G1,O60337,P62253,E3
MXI1,UBE2O,P50539,Q9C0C9,E3
HEXIM1,UBE2O,O94992,Q9C0C9,E3
SCRIB,UBE3A,Q14160,Q05086,E3
PTPN3,UBE3A,P26045,Q05086,E3
MCM7,UBE3A,P33993,Q05086,E3
UBE3A,UBE3A,Q05086,Q05086,E3
CDKN1B,UBE3A,P46527,Q05086,E3
PSMD4,UBE3A,P55036,Q05086,E3
PTPA,UBE3A,Q15257,Q05086,E3
RB1,UBE3A,P06400,Q05086,E3
UCHL5,UBE3A,Q9Y5K5,Q05086,E3
ANXA1,UBE3A,P04083,Q05086,E3
ENO1,UBE3A,P06733,Q05086,E3
TSC2,UBE3A,P49815,Q05086,E3
TP53,UBE3A,P04637,Q05086,E3
LLGL1,UBE3A,Q15334,Q05086,E3
BLK,UBE3A,P51451,Q05086,E3
SIPA1L1,UBE3A,O43166,Q05086,E3
PML,UBE3A,P29590,Q05086,E3
DLG1,UBE3A,Q12959,Q05086,E3
S100B,UBE3A,P04271,Q05086,E3
ARPC3,UBE3A,O15145,Q05086,E3
RAD23A,UBE3A,P54725,Q05086,E3
RAD23B,UBE3A,P54727,Q05086,E3
DDI1,UBE3A,Q8WTU0,Q05086,E3
BAK1,UBE3A,Q16611,Q05086,E3
CEBPA,UBE3A,P49715,Q05086,E3
ESR1,UBE3A,P03372,Q05086,E3
PRRX1,UBE3A,P54821,Q05086,E3
DLG4,UBE3A,P78352,Q05086,E3
PRDX1,UBE3A,Q06830,Q05086,E3
GOPC,UBE3A,Q9HD26,Q05086,E3
NELFCD,UBE3A,Q8IXH7,Q05086,E3
SNCA,UBE3A,P37840,Q05086,E3
NCOA3,UBE3A,Q9Y6Q9,Q05086,E3
ARNTL,UBE3A,O00327,Q05086,E3
AXIN1,UBE3C,O15169,Q15386,E3
AHNAK,UBE3C,Q09666,Q15386,E3
UBE3C,UBE3C,Q15386,Q15386,E3
PIK3C3,UBE3C,Q8NEB9,Q15386,E3
CAND2,UBE3C,O75155,Q15386,E3
UBE4A,UBE4A,Q14139,Q14139,E3
UNC45B,UBE4B,Q8IWX7,O95155,E3
PTTG1,UBE4B,O95997,O95155,E3
TP53,UBE4B,P04637,O95155,E3
ATXN3,UBE4B,P54252,O95155,E3
FEZ1,UBE4B,Q99689,O95155,E3
TRAF6,UBL4A,Q9Y4K3,P11441,E3
RHO,UBR1,P08100,Q8IWV7,E3
H2AC11,UBR2,P0C0S8,Q8IWV8,E3
H2AC20,UBR2,Q16777,Q8IWV8,E3
TRPV5,UBR4,Q9NQA5,Q5T4S7,E3
PTPN14,UBR4,Q15678,Q5T4S7,E3
MYC,UBR5,P01106,O95071,E3
AGR2,UBR5,O95994,O95071,E3
SOX2,UBR5,P48431,O95071,E3
ATMIN,UBR5,O43313,O95071,E3
CAPZA1,UBR5,P52907,O95071,E3
NR1I2,UBR5,O75469,O95071,E3
PCK1,UBR5,P35558,O95071,E3
PAIP2,UBR5,Q9BPZ3,O95071,E3
CDK9,UBR5,P50750,O95071,E3
TOPBP1,UBR5,Q92547,O95071,E3
CEBPA,UBR5,P49715,O95071,E3
PPP2CA,UBR5,P67775,O95071,E3
HTT,UBR5,P42858,O95071,E3
UBR5,UBR5,O95071,O95071,E3
PRPSAP1,UBR7,Q14558,Q8N806,E3
HSPA5,UCHL1,P11021,P09936,E3
CTTN,UCHL1,Q14247,P09936,E3
SMN1,UCHL1,Q16637,P09936,E3
DNMT1,UHRF1,P26358,Q96T88,E3
H2BC21,UHRF1,Q16778,Q96T88,E3
H3C1,UHRF1,P68431,Q96T88,E3
PML,UHRF1,P29590,Q96T88,E3
TP53,UHRF1,P04637,Q96T88,E3
CCND1,UHRF2,P24385,Q96PU4,E3
PCNP,UHRF2,Q8WW12,Q96PU4,E3
CDKN1A,UHRF2,P38936,Q96PU4,E3
CCNE1,UHRF2,P24864,Q96PU4,E3
H3C14,UHRF2,Q71DI3,Q96PU4,E3
HIF1A,VHL,Q16665,P40337,E3
DVL2,VHL,O14641,P40337,E3
HIF3A,VHL,Q9Y2N7,P40337,E3
HNRNPD,VHL,Q14103,P40337,E3
EPAS1,VHL,Q99814,P40337,E3
USP33,VHL,Q8TEY7,P40337,E3
CLU,VHL,P10909,P40337,E3
FN1,VHL,P02751,P40337,E3
PPARG,VHL,P37231,P40337,E3
USP20,VHL,Q9Y2K6,P40337,E3
IREB2,VHL,P48200,P40337,E3
BHLHE40,VHL,O14503,P40337,E3
POLR2G,VHL,P62487,P40337,E3
ADRB2,VHL,P07550,P40337,E3
RPTOR,VHL,Q8N122,P40337,E3
AURKA,VHL,O14965,P40337,E3
MAP1LC3B,VHL,Q9GZQ8,P40337,E3
HIF1AN,VHL,Q9NWT6,P40337,E3
PRKCI,VHL,P41743,P40337,E3
TGFBR1,VHL,P36897,P40337,E3
SKP2,VHL,Q13309,P40337,E3
PPP2R1A,VPRBP,Q8IXI2,Q9Y4B6,E3
NF2,VPRBP,P35240,Q9Y4B6,E3
PLK2,VPS18,Q9NYY3,Q9P253,E3
GGA3,VPS18,Q9NZ52,Q9P253,E3
MAPRE2,WDHD1,Q15555,O75717,E3
HIPK2,WSB1,Q9H2X6,Q9Y6I7,E3
DIO2,WSB1,Q92813,Q9Y6I7,E3
RUNX2,WWP1,Q13950,Q9H0M0,E3
SMAD2,WWP1,Q15796,Q9H0M0,E3
GAG,WWP1,P03345,Q9H0M0,E3
GAG,WWP1,P14076,Q9H0M0,E3
GAG,WWP1,P0C209,Q9H0M0,E3
SMAD6,WWP1,O43541,Q9H0M0,E3
TP53,WWP1,P04637,Q9H0M0,E3
KLF2,WWP1,Q9Y5W3,Q9H0M0,E3
MUC1,WWP1,P15941,Q9H0M0,E3
CXCR4,WWP1,P61073,Q9H0M0,E3
SMAD4,WWP1,Q13485,Q9H0M0,E3
AMOTL2,WWP1,Q9Y2J4,Q9H0M0,E3
EI24,WWP1,O14681,Q9H0M0,E3
CDKN1B,WWP1,P46527,Q9H0M0,E3
GAG,WWP1,P14077,Q9H0M0,E3
SPART,WWP1,Q8N0X7,Q9H0M0,E3
ERBB4,WWP1,Q15303,Q9H0M0,E3
LATS1,WWP1,O95835,Q9H0M0,E3
TP63,WWP1,Q9H3D4,Q9H0M0,E3
DVL2,WWP1,O14641,Q9H0M0,E3
TGFBR1,WWP1,P36897,Q9H0M0,E3
EPS15,WWP1,P42566,Q9H0M0,E3
WWP1,WWP1,Q9H0M0,Q9H0M0,E3
TRAF6,WWP1,Q9Y4K3,Q9H0M0,E3
PTEN,WWP1,P60484,Q9H0M0,E3
KLF5,WWP1,Q13887,Q9H0M0,E3
SMAD7,WWP1,O15105,Q9H0M0,E3
RNF11,WWP1,Q9Y3C5,Q9H0M0,E3
TGFBR2,WWP1,P37173,Q9H0M0,E3
EGFR,WWP1,P00533,Q9H0M0,E3
TP73,WWP1#WWP2,O15350,Q9H0M0#O00308,E3
SMAD7,WWP2,O15105,O00308,E3
DMT1,WWP2,Q9Y5R6,O00308,E3
SLC11A2,WWP2,P49281,O00308,E3
EGR2,WWP2,P11161,O00308,E3
POLR2A,WWP2,P24928,O00308,E3
POU5F1,WWP2,Q01860,O00308,E3
TP73,WWP2,O15350,O00308,E3
PAIP1,WWP2,Q9H074,O00308,E3
ABI3,WWP2,Q9P2A4,O00308,E3
PTEN,WWP2,P60484,O00308,E3
RUNX2,WWP2,Q13950,O00308,E3
TICAM1,WWP2,Q8IUC6,O00308,E3
NOTCH3,WWP2,Q9UM47,O00308,E3
SMAD3,WWP2,P84022,O00308,E3
WWP2,WWP2,O00308,O00308,E3
DIABLO,XIAP,Q9NR28,P98170,E3
MAP3K3,XIAP,Q99759,P98170,E3
COMMD1,XIAP,Q8N668,P98170,E3
RIPK2,XIAP,O43353,P98170,E3
CASP7,XIAP,P55210,P98170,E3
MAP3K7,XIAP,O43318,P98170,E3
AIFM1,XIAP,O95831,P98170,E3
XIAP,XIAP,P98170,P98170,E3
NUP62,XIAP,P37198,P98170,E3
TLE5,XIAP,Q08117,P98170,E3
AIF1,XIAP,P55008,P98170,E3
XAF1,XIAP,Q6GPH4,P98170,E3
PGAM5,XIAP,Q96HS1,P98170,E3
CASP3,XIAP,P42574,P98170,E3
TLE3,XIAP,Q04726,P98170,E3
MAP3K2,XIAP,Q9Y2U5,P98170,E3
CASP9,XIAP,P55211,P98170,E3
PTEN,XIAP,P60484,P98170,E3
RIPK4,XIAP,P57078,P98170,E3
TLE1,XIAP,Q04724,P98170,E3
RAF1,XIAP,P04049,P98170,E3
CCS,XIAP,O14618,P98170,E3
BIRC5,XIAP,O15392,P98170,E3
TLE2,XIAP,Q04725,P98170,E3
CASP8,XIAP,Q14790,P98170,E3
SEPTIN4,XIAP,O43236,P98170,E3
TLE4,XIAP,Q04727,P98170,E3
HSPA1A,XIAP,P08107,P98170,E3
CCNB1,ZC3HC1,P14635,Q86WB0,E3
MAP3K14,ZFP91,Q99558,Q96JP5,E3
BECN1,ZFP91,Q14457,Q96JP5,E3
HNRNPF,ZFP91,P52597,Q96JP5,E3
AKT1,ZNRF1,P31749,Q8ND25,E3
GLUL,ZNRF1,P15104,Q8ND25,E3
CAV1,ZNRF1,Q03135,Q8ND25,E3
EGFR,ZNRF1,P00533,Q8ND25,E3
ZNRF1,ZNRF1,Q8ND25,Q8ND25,E3
ZNRF2,ZNRF2,Q8NHG8,Q8NHG8,E3
ZSWIM2,ZSWIM2,Q8NEG5,Q8NEG5,E3
RAP2A,NEDD4,P10114,P46934,E3
CD274,MARCHF8,Q9NZQ7,Q5T0T0,E3
DYRK1A,TRAF2,Q13627,Q12933,E3
TP53,RLIM,P04637,Q9NVW2,E3
CCNG2,RNF123,Q16589,Q5XPI4,E3
SUV39H1,MDM2,O43463,Q00987,E3
SPIN1,HACE1,Q9Y657,Q8IYU2,E3
DVL2,RNF123,O14641,Q5XPI4,E3
SMC6,X,Q96SB8,P03165,E3
SMC5,X,Q8IY18,P03165,E3
PSME4,X,Q14997,P03165,E3
ZEB2,X,O60315,P03165,E3
STIM1,X,Q13586,P03165,E3
LIG4,E4,P49917,P03243#Q6VGT3,E3
ITGA3,E4,P26006,P03243#Q6VGT3,E3
MRE11,E4,P49959,P03243#Q6VGT3,E3
TP53,E4,P04637,P03243#Q6VGT3,E3
ZBTB10,ICP0,Q96DT7,P08393,E3
ICP0,ICP0,P08393,P08393,E3
MORC3,ICP0,Q14149,P08393,E3
RNF8,ICP0,O76064,P08393,E3
CENPC,ICP0,Q03188,P08393,E3
RNF168,ICP0,Q8IYW5,P08393,E3
PRKDC,ICP0,P78527,P08393,E3
IFI16,ICP0,Q16666,P08393,E3
NACC2,ICP0,Q96BF6,P08393,E3
USP7,ICP0,Q93009,P08393,E3
ARID3A,ICP0,Q99856,P08393,E3
ZBTB4,ICP0,Q9P1Z0,P08393,E3
ZBTB38,ICP0,Q8NAP3,P08393,E3
ETV6,ICP0,P41212,P08393,E3
MBD1,ICP0,Q9UIS9,P08393,E3
NACC1,ICP0,Q96RE7,P08393,E3
SP100,ICP0,P23497,P08393,E3
BEND3,ICP0,Q5T5X7,P08393,E3
CENPB,ICP0,P07199,P08393,E3
PML,ICP0,P29590,P08393,E3
ATRX,ICP0,P46100,P08393,E3
CENPA,ICP0,P49450,P08393,E3
TP53,ICP0,P04637,P08393,E3
HEY1,ORF50,Q9Y5J3,O92608,E3
CD1D,K3,P15813,P90495,E3
HLA-A,K3,P04439,P90495,E3
IFNGR1,K3,P15260,P90495,E3
CD86,K5,P42081,P90489,E3
ICAM1,K5,P05362,P90489,E3
IFNGR1,K5,P15260,P90489,E3
BST2,K5,Q10589,P90489,E3
ALCAM,K5,Q13740,P90489,E3
HLA-B,K5,P01889,P90489,E3
CD1D,K5,P15813,P90489,E3
PECAM1,K5,P16284,P90489,E3
APOBEC3F,VIF,Q8IUX4,P69720,E3
APOBEC3G,VIF,Q9HC16,P69720,E3
APOBEC3C,VIF,Q9NRW3,P69720,E3
TP53,E6,P04637,P03126,E3
DLG1,E6,Q12959,P03126,E3
SIPA1L1,E6,O43166,P03126,E3
KDM5C,E6,P41229,P03126,E3
KDM5C,E6,P41229,P06463,E3
PPARG,AHR,P37238,P30561,E3
RIPK1,AHR,Q60855,P30561,E3
CD82,AMFR,P40237,Q9R049,E3
CD274,ARIH1,Q9EP73,Q9Z1K5,E3
MCL1,ASB17,P97287,Q8VHP9,E3
CKB,ASB9,Q04447,Q91ZT8,E3
ATF4,BTRC,Q06507,Q3ULA2,E3
PLK4,BTRC,Q64702,Q3ULA2,E3
DLG1,BTRC,Q811D0,Q3ULA2,E3
NFKBIE,BTRC,O54910,Q3ULA2,E3
LPCAT1,BTRC,Q3TFD2,Q3ULA2,E3
SMAD4,BTRC,P97471,Q3ULA2,E3
CDC25A,BTRC,P48964,Q3ULA2,E3
SMAD3,BTRC,Q8BUN5,Q3ULA2,E3
SNAI1,BTRC,Q02085,Q3ULA2,E3
NFKBIB,BTRC,Q60778,Q3ULA2,E3
NFKBIA,BTRC,Q9Z1E3,Q3ULA2,E3
FBXO5,BTRC,Q7TSG3,Q3ULA2,E3
CD4,BTRC,P06332,Q3ULA2,E3
MDM2,BTRC,P23804,Q3ULA2,E3
NFKB2,BTRC,Q9WTK5,Q3ULA2,E3
NFKB1,BTRC,P25799,Q3ULA2,E3
CTNNB1,BTRC,Q02248,Q3ULA2,E3
KDR,CBL,P35918,P22682,E3
VAV1,CBL,P27870,P22682,E3
IRF8,CBL,P23611,P22682,E3
SORBS2,CBL,Q3UTJ2,P22682,E3
EGFR,CBL,Q01279,P22682,E3
STAT5A,CBL,P42230,P22682,E3
STAT5B,CBL,P42232,P22682,E3
CSF1R,CBL,P09581,P22682,E3
FGFR4,CBL,Q03142,P22682,E3
KIT,CBL,P05532,P22682,E3
CRKL,CBL,P47941,P22682,E3
IL6ST,CBL,Q00560,P22682,E3
BCL2L11,CBL,O54918,P22682,E3
FGFR1,CBL,P16092,P22682,E3
MET,CBL,P16056,P22682,E3
RELB,CBL,Q04863,P22682,E3
SH3KBP1,CBL,Q8R550,P22682,E3
FRS2,CBL,Q8C180,P22682,E3
HGS,CBL,Q99LI8,P22682,E3
FGFR2,CBL,P21803,P22682,E3
PDGFRB,CBL,P05622,P22682,E3
FGFR3,CBL,Q61851,P22682,E3
DDX58,CBL,Q6Q899,P22682,E3
LYN,CBL,P25911,P22682,E3
SYK,CBL,P48025,P22682,E3
PDGFRA,CBL,P26618,P22682,E3
IRF4,CBLB,Q64287,Q3TTA7,E3
SYK,CBLB,P48025,Q3TTA7,E3
SH3KBP1,CBLB,Q8R550,Q3TTA7,E3
GRIN2B,CBLB,Q01097,Q3TTA7,E3
PLCG1,CBLB,Q62077,Q3TTA7,E3
CBLB,CBLB,Q3TTA7,Q3TTA7,E3
CDH1,CBLL1,P09803,Q9JIY2,E3
YDJC,CDC16,Q14BV6,Q8R349,E3
CDKN1A,CDC20,P39689,Q9JJ66,E3
MEIS1,CDC20,Q60954,Q9JJ66,E3
CCNB1,CDC20,P24860,Q9JJ66,E3
RUNX1,CDC20,Q03347,Q9JJ66,E3
PTTG1,CDC20,Q9CQJ7,Q9JJ66,E3
CHFR,CHFR,Q810L3,Q810L3,E3
HDAC1,CHFR,O09106,Q810L3,E3
PLK1,CHFR,Q07832,Q810L3,E3
AURKA,CHFR,P97477,Q810L3,E3
CNOT4,CNOT4,Q8BT14,Q8BT14,E3
CEBPA,COP1,P53566,Q9R1A8,E3
JUN,COP1,P05627,Q9R1A8,E3
IKZF1,CRBN,G5E8H3,Q8C7D2,E3
AMPK GAMMA,CRBN,-,Q8C7D2,E3
MAP3K7,CYLD,Q62073,Q80TQ2,E3
SMAD7,CYLD,O35253,Q80TQ2,E3
NF2,DCAF1,P46662,Q80TR8,E3
XPC,DDB2,P51612,Q99J79,E3
CRTC2,DET1#COP1,Q3U182,Q9D0A0#Q9R1A8,E3
CRY1,DTL,P97784,Q3TLR7,E3
TP53,E4F1,P02340,Q8CCE9,E3
FANCD2,FANCL,Q80V62,Q9CR14,E3
ITGB1,FBRS,P09055,Q8R089,E3
CDKN1C,FBXL12,P49919,Q9EPX5,E3
PRMT1,FBXL17,Q9JIF0,Q9QZN1,E3
DCTN1,FBXL5,O08788,Q8C2S5,E3
IREB2,FBXL5,Q811J3,Q8C2S5,E3
HSP90AA1,FBXL6,P07901,Q9QXW0,E3
AURKA,FBXL7,P97477,Q5BJ29,E3
TP53,FBXO11,P02340,Q7TPD1,E3
GRIN2A,FBXO2,P35436,Q80UW2,E3
BACE1,FBXO2,P56818,Q80UW2,E3
GRIN1,FBXO2,P35438,Q80UW2,E3
INSR,FBXO2,P15208,Q80UW2,E3
APP,FBXO2,P12023,Q80UW2,E3
CCND1,FBXO31,P25322,Q3TQF0,E3
EIF3F,FBXO32,Q9DCH4,Q9CPU7,E3
MYOG,FBXO32,P12979,Q9CPU7,E3
MYOD1,FBXO32,P10085,Q9CPU7,E3
FOXO1,FBXO32,Q9R1E0,Q9CPU7,E3
YBX1,FBXO33,P62960,Q8VE08,E3
CCND1,FBXO4,P25322,Q8CHQ0,E3
RAD51,FBXO5,Q08297,Q7TSG3,E3
CHEK1,FBXO6,O35280,Q9QZN4,E3
IFNAR1,FBXW11,P33896,Q5SRY7,E3
NFKBIA,FBXW11,Q9Z1E3,Q5SRY7,E3
CTNNB1,FBXW11,Q02248,Q5SRY7,E3
FBXL19,FBXW17,Q6PCT2,Q8CFE8,E3
MAP3K5,FBXW5,O35099,Q9QXW2,E3
NFKBIA,FBXW7,Q9Z1E3,Q8VBV4,E3
KLF7,FBXW7,Q99JB0,Q8VBV4,E3
JUN,FBXW7,P05627,Q8VBV4,E3
MYB,FBXW7,P06876,Q8VBV4,E3
TPP1,FBXW7,O89023,Q8VBV4,E3
NOTCH1,FBXW7,Q01705,Q8VBV4,E3
MCL1,FBXW7,P97287,Q8VBV4,E3
NOX1,FBXW7,Q8CIZ9,Q8VBV4,E3
CCNE1,FBXW7,Q61457,Q8VBV4,E3
MYC,FBXW7,P01108,Q8VBV4,E3
SHOC2,FBXW7,O88520,Q8VBV4,E3
MTOR,FBXW7,Q9JLN9,Q8VBV4,E3
SKIL,FZR1,Q60665,Q9R1K5,E3
TK1,FZR1,P04184,Q9R1K5,E3
DNMT1,FZR1,P13864,Q9R1K5,E3
RUNX1,FZR1,Q03347,Q9R1K5,E3
CDC20,FZR1,Q9JJ66,Q9R1K5,E3
SKIL,FZR1,Q60979,Q9R1K5,E3
PTTG1,FZR1,Q9CQJ7,Q9R1K5,E3
MYF5,FZR1,P24699,Q9R1K5,E3
CCNB1,FZR1,P24860,Q9R1K5,E3
MAP1B,GAN,P14873,Q8CA72,E3
IF,GAN,-,Q8CA72,E3
MAP1S,GAN,Q8C052,Q8CA72,E3
FN1,HACE1,P11276,Q3U0D9,E3
CLDN5,HECTD1,O54942,F8WIE5,E3
NFKBIA,HECTD1,Q9Z1E3,F8WIE5,E3
TRIOBP,HECTD3,Q99KW3,Q3U487,E3
MALT1,HECTD3,Q2TBA3,Q3U487,E3
STAT3,HECTD3,P42227,Q3U487,E3
STX8,HECTD3,O88983,Q3U487,E3
TRAF3,HECTD3,Q60803,Q3U487,E3
NLRC4,HERC2,Q3UP24,Q4U2R1,E3
XPA,HERC2,Q64267,Q4U2R1,E3
TP53,HUWE1,P02340,Q7TMY8,E3
WIPI2,HUWE1,Q80W47,Q7TMY8,E3
MYCN,HUWE1,P03966,Q7TMY8,E3
ATOH1,HUWE1,P48985,Q7TMY8,E3
EGFR,HUWE1,Q01279,Q7TMY8,E3
C-MYC,HUWE1,Q9Z197,Q4JG03,E3
PIAS2,HUWE1,Q8C5D8,Q4JG03,E3
KAT7,HUWE1,Q5SVQ0,Q7TMY8,E3
PELI1,IRAK1,Q8C669,Q62406,E3
PELI1,IRAK4,Q8C669,Q8R4K2,E3
NR0B2,ITCH,Q62227,Q8C863,E3
JUNB,ITCH,P09450,Q8C863,E3
TP73,ITCH,Q9JJP2,Q8C863,E3
SREBF2,ITCH,Q3U1N2,Q8C863,E3
CXCR4,ITCH,P70658,Q8C863,E3
ERBB4,ITCH,Q61527,Q8C863,E3
BID,ITCH,P70444,Q8C863,E3
SNX9,ITCH,Q91VH2,Q8C863,E3
OCLN,ITCH,Q61146,Q8C863,E3
NOTCH1,ITCH,Q01705,Q8C863,E3
NR2C2,ITCH,P49117,Q8C863,E3
FOXO1,ITCH,Q9R1E0,Q8C863,E3
RORC,ITCH,P51450,Q8C863,E3
SIRT6,ITCH,P59941,Q8C863,E3
ITCH,ITCH,Q8C863,Q8C863,E3
BCL10,ITCH,Q9Z0H7,Q8C863,E3
TP63,ITCH,O88898,Q8C863,E3
JUN,ITCH,P05627,Q8C863,E3
CFLAR,ITCH,O35732,Q8C863,E3
SMAD2,ITCH,Q62432,Q8C863,E3
KLF10,ITCH,O89091,Q8C863,E3
PTPN6,ITCH#WWP2,P29351,Q8C863#Q9DBH0,E3
MDM2,KAT2B,P23804,Q9JHD1,E3
RHOA,KCTD13,Q9QUI0,Q8BGV7,E3
PGAM5,KEAP1,Q8BX10,Q9Z2X8,E3
NFE2L2,KEAP1,Q60795,Q9Z2X8,E3
GRIK2,KLHL17,P39087,Q6TDP3,E3
NPCD,KLHL2,Q6TKP2,Q8JZP3,E3
AURKB,KLHL21,O70126,Q3U410,E3
CLDN8,KLHL3,Q9Z260,E0CZ16,E3
FLNC,KLHL31,Q8VHX6,Q8BWA5,E3
NRAP,KLHL41,Q80XB4,A2AUC9,E3
NUMB,LNX1,Q9QZS3,O70263,E3
GJD2,LNX1,O54851,O70263,E3
TSG101,LRSAM1,Q61187,Q80ZI6,E3
IKBKG,MALT1,O88522,Q2TBA3,E3
MAPK3,MAP3K1,Q63844,P53349,E3
MAPK1,MAP3K1,P63085,P53349,E3
JUN,MAP3K1,P05627,P53349,E3
DTX1,MAP3K1,Q61010,P53349,E3
FOSL2,MAP3K1,P47930,P53349,E3
H2-AB1,MARCHF1,P14483,Q6NZQ8,E3
CD86,MARCHF1,P42082,Q6NZQ8,E3
FAS,MARCHF1,P25446,Q6NZQ8,E3
TFRC,MARCHF1,Q62351,Q6NZQ8,E3
CD4,MARCHF11,P06332,Q8CBH7,E3
TFRC,MARCHF2,Q62351,Q99M02,E3
CD86,MARCHF2,P42082,Q99M02,E3
CD4,MARCHF4,P06332,Q80TE3,E3
FIS1,MARCHF5,Q9CQ92,Q3KNM2,E3
DNM1L,MARCHF5,Q8K1M6,Q3KNM2,E3
MFN1,MARCHF5,Q811U4,Q3KNM2,E3
MARCHF7,MARCHF7,Q9WV66,Q9WV66,E3
H2-AB1,MARCHF8,P14483,Q9DBD2,E3
CD86,MARCHF8,P42082,Q9DBD2,E3
ICAM1,MARCHF9,P13597,Q3TZ87,E3
CD4,MARCHF9,P06332,Q3TZ87,E3
MDM2,MDM2,P23804,P23804,E3
DLG4,MDM2,Q62108,P23804,E3
ARC,MDM2,Q9WV31,P23804,E3
PPARG,MDM2,P37238,P23804,E3
TP53,MDM2,P02340,P23804,E3
TCAP,MDM2,O70548,P23804,E3
JMY,MDM2,Q9QXM1,P23804,E3
AR,MDM2,P19091,P23804,E3
KAT5,MDM2,Q8CHK4,P23804,E3
SIRT6,MDM2,P59941,P23804,E3
KAT2B,MDM2,Q9JHD1,P23804,E3
E2F1,MDM2,Q61501,P23804,E3
MDM4,MDM2,O35618,P23804,E3
ARRB2,MDM2,Q91YI4,P23804,E3
ARRB1,MDM2,Q8BWG8,P23804,E3
APEX1,MDM2,P28352,P23804,E3
DLX3,MDM2,Q64205,P23804,E3
