id	filename	md5	size
0de8f3ce-b419-46b7-9983-fa77d2818cd4	merge_graphs_mutex_exons_C2.gff3.gz	c3918d108f5a74d5293c16bbf0ecb787	118710490
104c3fbf-ccd7-4d2c-a422-d9d44644fcb0	gtex_merge_graphs_alt_3prime_C2.confirmed.txt.gz	f04e25884645524306e1264fe8b29ddb	201340892
108c6e98-b851-48db-b708-258521617c37	merge_graphs_mutex_exons_C2.confirmed.txt.gz	06116a298d4c98f13f0bead0846897e9	3053862582
14bad7fe-8232-4b3b-923a-d20c958b6187	results_alt_splice_difftest_gdc.tar.gz	144921f1e4f77f7f4d37d30302be272e	33457910
1a33b27e-077a-4634-b42f-5a57a6e4933e	gtex_merge_graphs_alt_3prime_C2.counts.hdf5	fb82b617d56d4eac89c79961ec7369e3	8689898386
1a661253-7ec1-4410-aee0-7d58738a71cd	gtex_merge_graphs_intron_retention_C2.confirmed.txt.gz	441a209b78bb4eca516455f52a7dc16a	362088949
1ab28729-e038-4f4d-b106-2914ef48988a	merge_graphs_mutex_exons_C2.confirmed.gff3	c9d66a50580bafbeec3b3714eb82359c	761334361
1e478d18-abbc-44a2-99e9-9824a3f4f494	gtex_merge_graphs_exon_skip_C2.counts.hdf5	fa35752943976b2e130ae85338503a23	15900208109
281fe94f-2e49-4687-8087-552f3ab09776	merge_graphs_exon_skip_C2.confirmed.txt.gz	db5de2a1e09cd28dabd677fbbf844eec	810989048
2a4ed998-643d-4c91-bfd6-cf9a756e8a4b	gtex_merge_graphs_alt_5prime_C2.counts.hdf5	153ad397d01447b2c523233d735bf445	6902381211
2c3655cf-47a6-43f4-bf8c-b91c689cc786	sample_excludelist.txt	7196bffe0fcdd7d56db101c33bad8d62	38280
3094de2b-1da1-40eb-96ca-27b432040ebf	merge_graphs_alt_3prime_C2.confirmed.txt.gz	f2f848e9ca2b8710908df6142c6076a1	586906533
338619f8-098b-4ea5-bacb-724d37b226c2	expression_counts.whitelisted.hdf5	d4b46f3e9415a74375186b17b47bd30e	743704290
3920a044-6874-4049-8010-55f0922243b7	cisassociations.tsv.gz	01689b5a22bb0551e7258bccc284aae8	6035
3c7b775c-24c0-4487-988e-61093e32e31a	merge_graphs_exon_skip_C2.gff3.gz	c43440e15cf2004cda023e8fba22d69a	18628456
3eb846a0-ae76-4b82-a326-69fe13268125	merge_graphs_intron_retention_C2.gff3.gz	7d2d6f8ec02a505b53e994fa4b4ce011	4874383
41072dbe-0e73-42dd-970b-06e3cc956780	merge_graphs_alt_5prime_C2.confirmed.gff3	0845692f44cf66505ae24015f0f0a643	87444572
48cb3ec3-4643-4b15-a735-6da9a8a8d129	expression_counts.whitelisted.libsize.tsv	94f71e5291c143f27f828a9cc1f1a592	783024
4a29eb99-e911-440b-a01a-ca7c4dfed991	all_junctions_gdc.tar.gz	bc28a6a86d35b2ddc943c65853e33b3d	4021238538
4c0d3ed0-7584-4630-aedf-149c0fe4b2a2	splice_outlier.tar.gz	fac615234b7d5b17748ee4947a49ca1f	55911
4e1ea287-52ae-4112-b21d-d79270ed2f79	gtex_merge_graphs_mutex_exons_C2.counts.hdf5	c9d9de1ca6d0cba7f4c196f9e0305193	47820628180
545787a2-6107-4ca0-8ac0-16538d89af84	merge_graphs_alt_5prime_C2.counts.hdf5	78519733f2cb0f018d6008c50110af9f	21946161272
55b752d2-89b5-443d-a037-46f56d5918e8	REFERENCE.polypeptides.tgz	5281bb311fae78d75e03e726bb7bff70	25912698
5c9ec65d-57c8-44f8-b71e-e612a6e6f0a6	donor_to_cancertype.tsv	03e86e7bde4ee5f6fa686273dbf93be6	1070
65055a74-8345-4fa0-831e-826573c5508d	merge_graphs_intron_retention_C2.counts.hdf5	eeaa6291946d7460a4543b3288f97f3c	28639490422
6e5dc1db-58c3-4d4f-aaf3-aa49ff25b6a1	merge_graphs_intron_retention_C2.confirmed.txt.gz	17509c7b3c82e9b0a6116193bce393e7	936671368
6eca6de5-9be0-4a3c-93e6-012752cf21c0	donor_to_cptac_dataset.tsv	660c2f0febdcbde4b73e53a904990247	6433
70237bc6-0144-4cb6-a328-f9a41113e91b	merge_graphs_alt_5prime_C2.confirmed.txt.gz	e4a689f3b608fdf40994f81594f12148	435191440
7db797ff-231c-447e-8891-09fed322d7e1	merge_graphs_alt_3prime_C2.counts.hdf5	e5b91d58e8dc915444f33996eeecd523	27768011305
8a812c84-a046-4cb5-bdb7-7d46fdc615ee	gtex_merge_graphs_intron_retention_C2.counts.hdf5	5ba1bec32e9e2fa0567d36be9bb817a4	9161556097
8c499f12-be6d-4a3d-9cd9-e1e03d4a5f25	merge_graphs_intron_retention_C2.confirmed.gff3	2a0515f5cc72058e3e8df6dcd9783a0b	78557929
91936403-86e8-4560-bb11-ff98663bbe34	rnaseq_confirmed_junctions.tgz	12e9cae8f28f77244dd096835a943848	114608604
91f0150f-1f54-4ce0-87ba-180e6f6c2a89	fastqc_overview_table.pub.tsv.gz	8f8ce8f56de1d549fcdcd052cafa8dbf	2605374
9274b99b-4f07-4bc4-b1c0-cfaef7aa98cb	merge_graphs_mutex_exons_C2.counts.hdf5	cf3534bf3868a5b9a245816decf319e4	144330922712
99792cc2-7091-4d76-8eb7-51c4ee702ce5	merge_graphs_exon_skip_C2.counts.hdf5	710a9c839909f1e6487a9e39cbee4fa2	44924894764
a07efb27-590e-4101-942f-bfe8e98de7ed	gtex_merge_graphs_alt_5prime_C2.confirmed.txt.gz	0cbce97dc211e537a48510047e2fce77	143173837
a5855b13-b6ef-4266-a6a8-c0ce32b142d4	gtex_merge_graphs_exon_skip_C2.confirmed.txt.gz	ee64d3fd0b9ae71a24fbdf2f68eb1fc0	595635931
b31d976c-de2f-4d75-981a-f7324bfc5e55	MatchedFactors.tsv.gz	ee0c08310fac50a7fcd3a6f4aa0d04b9	2669225
bdb9e376-590d-4c47-ab2e-59180bd13674	transassociations.tsv.gz	7e59957b4a15a597a317711749b64f24	138125
c0d54b5a-10d7-4910-87d1-7a651b0161fc	merge_graphs_alt_3prime_C2.gff3.gz	6720af7b60202032609b8f368c32eb19	9281704
c1372bef-b5c4-49d5-a6ce-415484cf183d	tss_complexity_counts.whitelisted.G0.01.globsum20.filtLib.conf3_neojunctions_corrected.tsv.gz	dae30ba532f65a766328622d7a9f3176	106378168
c72cc8bd-560c-453b-90dd-4f44c21d2881	sample_whitelist.txt	94b8ecb4cc4fcc69537e9c1377e7b9d0	622842
d210f250-ddbe-436a-8e1d-956d9302e877	merge_graphs_alt_3prime_C2.confirmed.gff3	9fbda254a8b8d0d2b116a92a90d40635	115661795
ef11a754-3622-4353-870e-b8e9bbcf07c0	tss_complexity_counts.whitelisted.G0.01.globsum20.filtLib.conf3_neojunctions.tsv.gz	d724eb6408035d4b21eef947a834b813	112853047
f2bd9184-1322-4c37-8121-a1a4cb8cd231	gtex_merge_graphs_mutex_exons_C2.confirmed.txt.gz	649f7ecb06a2dd35efccfd4065fc7d5a	650156560
f45c5bc4-875c-49ec-bc19-b68ae0318801	merge_graphs_exon_skip_C2.confirmed.gff3	ef7eb99511982c6607be2b497be1cbd9	264433832
